Paragraph Text,Score
يعد هاروكي موراكامي أكثر الكتاب اليابانيين شهرة حول العالم حيث بلغت مبيعات أعماله الملايين وهو أيضا بدون منازع أكثر كاتب ياباني تجريبي تترجم أعماله إلى اللغة الإنجليزية. تسكن رواياته تلك المساحة الفاصلة بين الأدب الواقعي والخرافي، والبوليسي والخيال العلمي، وعلى سبيل المثال، فإن لبطل روايته أرض العجائب الحارة ونهاية العالم عقلين، وروايته يوميات طائر الزنبرك، أفضل أعماله المشهورة خارج اليابان، تبدأ بحبكة خفيفة، رجل يبحث عن زوجته المفقودة، ثم بالتدريج تصير واحدة من أغرب الروايات الهجينة منذ صدور رواية ترسترام شاندي للورنس ستيرن. يبني موراكامي عالمه المجازي باستخدام الرموز المألوفة، مثل بئر جافة أو مدينة تحت الأرض، ولكن معاني هذه الرموز تبقى مغلقة ومختومة حتى نهاية العمل. وعلى الرغم من أنه مدين في أعماله للثقافة الشعبية (الأميركية على وجه الخصوص)، إلا أن أعماله تحمل درجة عالية من الخصوصية تنافس أي كاتب آخر.,10
ولد موراكامي عام في مدينة كيوتو، عاصمة اليابان القديمة، لعائلة من الطبقة الوسطى ومهتمة بالثقافة الوطنية، إذ عمل والده مدرسا للأدب الياباني، وكان جده راهب بوذي. انتقلت عائلته إلى مدينة كوبه وهو في الثانية من عمره، وشكلت هذه المدينة الساحلية حساسيته، بزوارها الأجانب (البحارة الأميركيين بالتحديد). رفض موراكامي الأدب والثقافة والموسيقى اليابانية منذ عمر مبكر، وآلف نفسه مع العالم خارج اليابان، عالم عرفه عبر موسيقى الجاز وأفلام هوليوود ومحلات الكتب المستعملة.,10
شحذ موراكامي ذوقه الروائي ما بعد الحداثي وهو طالب في طوكيو في أواخر الستينات بينما كان يتابع عن بعد، وبتعاطف، ذروة حركة احتجاجات أنبو. تزوج وهو في الثالثة والعشرين وقضى السنوات التالية في إدارة ناد لموسيقى الجاز في طوكيو اسمه يتر كات، وهو ما أتاح له الفرصة لإدارة نفقات حياته قبل نشره روايته الأولى. ترجمت رواية اسمع الريح تغني إلى الإنجليزية، ولكنها غير متاحة خارج اليابان بناء على طلب المؤلف، وفاز بها جائز ونزو للكتاب الجدد، وكانت هذه الرواية البادئة لمقروئية أعماله. ذاع صيته أكثر فأكثر مع كل كتاب نشره لاحقا، إلى أن نشر روايته الواقعية الأولى الغابة النرويجية والتي حولته إلى نجم أدبي عالمي، وصار صوت جيله في الثمانينات، معادلا لجي دي سالنر. بيعت من الرواية أكثر من اثنين مليون نسخة في اليابان فقط، ما يعني رواية لكل بيت في طوكيو وقتها.,10
صار موراكامي منذ ذلك أكثر الكتاب المشهورين في وطنه دون قصد منه، وعاش في الخارج لسنوات طويلة ليضع مسافة بينه وبين صورته العامة. عاش في أوروبا والولايات المتحدة، فكتب روايته يوميات طائر الزنبرك في أثناء تدريسه في جامعتي رينستون وتافتس. وعلى الرغم أنه لم يعد إلى أسلوب الكتابة المباشر كما في رواية الغابة النرويجية، اتسعت قاعدته الجماهيرية، فباعت روايته كافكا على الشاطئ أكثر من ثلاثة آلاف نسخة في اليابان وستصدر النسخة الإنجليزية منها قريبا. أما على المستوى العالمي، فهو أكثر الروائيين اليابانيين مقروئية في جيله، وحاز بكل الجوائز المطروحة للرواية في اليابان، بما فيها جائزة يوميري الأدبية. ولا يفوتنا أن نذكر بأنه مترجم نشط، ونقل أعمال رايمند كارر وتوم أوبرين وفرانسيس سكوت فيتسجيرالد إلى اللغة اليابانية، والتي كانت بعضها أول مرة تترجم للقارئ الياباني.,10
يقع مكتب موراكامي في طوكيو قبالة الطريق الرئيسي في أوياما، وهو المعادل لحي سوهو في مدينة نيويورك. المبنى نفسه عشوائي وقديم المظهر، كما لو أن التغيير في الحي قد حدث دون أن يصل المبنى. يستأجر موراكامي جناحا متوسط الحجم في الطابق السادس، وتعكس غرف الجناح طبيعته خزانات خشبية عادية وكراس دوارة ومكاتب مغطاة برقائق المايلر وأثاث مكتبي. لا يبدو الديكور متوافقا مع الشكل السائد لأستوديوهات الكتاب، إلا أنه مناسب لموراكامي، حيث غالبا ما تكون شخصياته في مثل هذه البيئة اليومية عند أول اتصال لهم مع عالم الأحلام. ولكن كما تبين لاحقا، فإن المكتب يخدم بشكل رئيسي بوصفه الواجهة المهنية لعمل موراكامي. يبدو جو الغرفة مشحونا بالعمل المتفاني، وعلى الأقل يوجد في المكتب مساعدتين يتحركن ببراعة وخفة بجواربهن الشفافة.,10
أجريت هذه المقابلة مع السيد موراكامي على مدار ظهيرتين متتابعتين، حيث أظهر ضحكات خافتة محاولا الحفاظ على الهدوء في المكتب. بدا رجلا مشغولا وباعترافه، لم يكن يحب التكلم كثيرا، ولكن بعد دخولنا إلى جو المقابلة، وجد موراكامي نفسه مركزا ويتحدث بسلاسة. تكلم بطلاقة، مع أخذه لسكتات متعددة بين جمله، محاولا توليف أدق إجابة ممكنة. وفي كل مرة أخذنا الحديث إلى الجاز أو إلى الركض، أكثر الأشياء التي تشغف قلبه، صار أصغر بعشرين سنة، أو ربما ظننته صبيا في الخامسة عشرة من عمره.,7
جون راي،,0
صفحة من مخطوطة رواية مطاردة الخراف الجامحة لهاروكي موراكامي,8
المقابل,1
انتهيت مؤخرا من قراءة مجموعتك القصصية بعد الزلزال وأدهشتني قدرتك على خلط القصص الواقعية على شاكلة رواية الغابة النرويجية مع قصص أخرى على شاكلة يوميات طائر الزنبرك وأرض العجائب الحارة ونهاية العالم. هل ترى فرقا واضحا بين هذين الشكلين,6
